企业名称,车辆型号,VIN,配置核查是否一致
洛阳辰汉农业装备科技股份有限公司,4QZ-18,1FY210011N4380450,是
洛阳辰汉农业装备科技股份有限公司,4QZ-18,1FY210016P4340052,是
洛阳辰汉农业装备科技股份有限公司,4QZ-18,1FY210011P436007X,是
洛阳辰汉农业装备科技股份有限公司,4GQ-1A,1FY210059P4430086,是
洛阳世英机械制造有限公司,SH504-B,00P210077P4070102,是
洛阳世英机械制造有限公司,SH504-B,00P210070P4070099,是
洛阳世英机械制造有限公司,SJH704B,SJH704B23020185,是
洛阳世英机械制造有限公司,SJH704B,SJH704B23020196,是
洛阳市蓝铭重工机械有限公司,LJ3404,2L2210012P4230014,是
厦工机械（焦作）有限公司,XG936K,CXG00936JNOK00079,是
厦工机械（焦作）有限公司,XG936K,CXG00936KNOK00081,是
厦工机械（焦作）有限公司,XG936K,CXG00936PNOK00063,是
厦工机械（焦作）有限公司,XG955K,CXG00955JNOK00622,是
厦工机械（焦作）有限公司,XG955K,CXG00955APOK00112,是
厦工机械（焦作）有限公司,XG955K,CXG00955PNOK00679,是
厦工机械（焦作）有限公司,XG956K,CXG00956CNOK00168,是
厦工机械（焦作）有限公司,XG956K,CXG00956HNOK00085,是
厦工机械（焦作）有限公司,XG956K,CXG00956LNOK00165,是
厦工机械（焦作）有限公司,XG957K,CXG00957EPOK00083,是
厦工机械（焦作）有限公司,XG957K,CXG00957JPOK00088,是
厦工机械（焦作）有限公司,XG957K,CXG00957VPOK00076,是
厦工机械（焦作）有限公司,XG958K,CXG00958CPOK00053,是
厦工机械（焦作）有限公司,XG958K,CXG00958LPOK00056,是
厦工机械（焦作）有限公司,XG958K,CXG00958TPOK00080,是
厦工机械（焦作）有限公司,XG968K,CXG00968AN0K00021,是
厦工机械（焦作）有限公司,XG968K,CXG00968JP0K00071,是
第一拖拉机股份有限公司中小拖公司,MF704-7,ZYT11070PP4025166,是
第一拖拉机股份有限公司中小拖公司,MF704-7,ZYT11070JP4025168,是
第一拖拉机股份有限公司中小拖公司,MF704-7,ZYT11070KP4025170,是
